sum_join_time,sum_index_build_time,label,T
517.016,13.1468,2Comp-ISJ,2
319.962,10.1116,CComp-INLJ,2
299.399,22.6645,CEager-INLJ,2
1.92191,51.6031,2CLazy-ISJ,2
13.5238,12.2842,1CLazy-ISJ,2
520.417,12.8121,2Comp-ISJ,5
266.304,10.5608,CComp-INLJ,5
268.827,20.6913,CEager-INLJ,5
1.90225,52.6116,2CLazy-ISJ,5
13.3644,13.0136,1CLazy-ISJ,5
518.96,12.8661,2Comp-ISJ,10
234.373,11.1266,CComp-INLJ,10
248.639,20.261,CEager-INLJ,10
1.89062,53.5415,2CLazy-ISJ,10
13.3687,13.3606,1CLazy-ISJ,10
520.885,12.939,2Comp-ISJ,20
235.245,10.7886,CComp-INLJ,20
249.297,20.2935,CEager-INLJ,20
1.91749,53.7843,2CLazy-ISJ,20
13.0293,13.4144,1CLazy-ISJ,20
